mesh_name;object_name;triangle_index;material_name;v0_x;v0_y;v0_z;v1_x;v1_y;v1_z;v2_x;v2_y;v2_z;normal;diffuse_color;specular_color;kd;ks;shininess
Plane;Plane;0;plane_matte_gray;5.000000;0.000000;5.000000;-5.000000;-0.000000;-5.000000;-5.000000;0.000000;5.000000;(0.000000, 1.000000, -0.000000);(0.880000, 0.880000, 0.900000);(0.180000, 0.180000, 0.180000);0.900000;0.050000;12.000000
Plane;Plane;1;plane_matte_gray;5.000000;0.000000;5.000000;5.000000;-0.000000;-5.000000;-5.000000;-0.000000;-5.000000;(0.000000, 1.000000, -0.000000);(0.880000, 0.880000, 0.900000);(0.180000, 0.180000, 0.180000);0.900000;0.050000;12.000000
Sphere;Sphere;0;sphere_reflective;2.500000;0.538060;-0.191342;2.519030;0.509607;-0.095671;2.500000;0.509607;-0.097545;(0.028574, -0.956550, -0.290166);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;1;sphere_reflective;2.500000;1.097545;-0.490393;2.597545;1.000000;-0.490393;2.500000;1.000000;-0.500000;(0.097546, 0.097546, -0.990439);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;2;sphere_reflective;2.500000;1.490393;-0.097545;2.500000;1.500000;-0.000000;2.519030;1.490393;-0.095671;(0.009652, 0.995139, -0.098009);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;3;sphere_reflective;2.500000;0.500000;-0.000000;2.500000;0.509607;-0.097545;2.519030;0.509607;-0.095671;(0.009652, -0.995139, -0.098009);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;4;sphere_reflective;2.500000;0.902455;-0.490393;2.597545;1.000000;-0.490393;2.595671;0.902455;-0.480970;(0.097552, -0.097552, -0.990438);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;5;sphere_reflective;2.500000;1.461940;-0.191342;2.519030;1.490393;-0.095671;2.537329;1.461940;-0.187665;(0.028582, 0.956549, -0.290167);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;6;sphere_reflective;2.500000;0.902455;-0.490393;2.590120;0.808658;-0.453064;2.500000;0.808658;-0.461940;(0.093834, -0.289004, -0.952718);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;7;sphere_reflective;2.500000;1.461940;-0.191342;2.554193;1.415735;-0.272448;2.500000;1.415735;-0.277785;(0.046374, 0.880971, -0.470892);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;8;sphere_reflective;2.500000;0.808658;-0.461940;2.581106;0.722215;-0.407747;2.500000;0.722215;-0.415735;(0.086533, -0.469631, -0.878612);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;9;sphere_reflective;2.500000;1.353553;-0.353553;2.554193;1.415735;-0.272448;2.568975;1.353553;-0.346760;(0.062357, 0.771501, -0.633165);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;10;sphere_reflective;2.500000;0.722215;-0.415735;2.568975;0.646447;-0.346760;2.500000;0.646447;-0.353553;(0.075910, -0.632568, -0.770776);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;11;sphere_reflective;2.500000;1.277785;-0.415735;2.568975;1.353553;-0.346760;2.581106;1.277785;-0.407747;(0.075913, 0.632566, -0.770777);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;12;sphere_reflective;2.500000;0.646447;-0.353553;2.554193;0.584265;-0.272448;2.500000;0.584265;-0.277785;(0.062355, -0.771502, -0.633164);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;13;sphere_reflective;2.500000;1.191342;-0.461940;2.581106;1.277785;-0.407747;2.590120;1.191342;-0.453064;(0.086535, 0.469629, -0.878613);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;14;sphere_reflective;2.500000;0.538060;-0.191342;2.554193;0.584265;-0.272448;2.537329;0.538060;-0.187665;(0.046384, -0.880974, -0.470887);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
Sphere;Sphere;15;sphere_reflective;2.500000;1.097545;-0.490393;2.590120;1.191342;-0.453064;2.595671;1.097545;-0.480970;(0.093837, 0.289001, -0.952719);(0.600000, 0.600000, 0.640000);(0.980000, 0.980000, 0.980000);0.600000;0.400000;96.000000
