point_id;local_x;local_y;global_x;global_y;global_z;L_R;L_G;L_B
P01;0.000000;0.000000;0.000000;0.000000;0.000000;4.848514;4.263844;4.188110
P02;0.500000;0.000000;0.478913;0.143674;0.000000;5.053558;4.407541;4.296865
P03;1.000000;0.000000;0.957826;0.287348;0.000000;5.169867;4.465967;4.315465
P04;1.500000;0.000000;1.436739;0.431022;0.000000;5.194900;4.440001;4.247524
P05;2.000000;0.000000;1.915653;0.574696;0.000000;5.133106;4.337481;4.104215
P06;0.000000;0.400000;0.111223;0.384226;0.000000;5.432627;4.776492;4.690742
P07;0.500000;0.400000;0.590136;0.527900;0.000000;5.622648;4.897438;4.768714
P08;1.000000;0.400000;1.069050;0.671574;0.000000;5.705496;4.916357;4.739591
P09;1.500000;0.400000;1.547963;0.815248;0.000000;5.683118;4.839416;4.613374
P10;2.000000;0.400000;2.026876;0.958921;0.000000;5.565038;4.680128;4.407876
P11;0.000000;0.800000;0.222446;0.768451;0.000000;6.058994;5.322544;5.222865
P12;0.500000;0.800000;0.701360;0.912125;0.000000;6.219733;5.405958;5.253551
P13;1.000000;0.800000;1.180273;1.055799;0.000000;6.254482;5.370842;5.160974
P14;1.500000;0.800000;1.659186;1.199473;0.000000;6.171570;5.230661;4.963790
P15;2.000000;0.800000;2.138099;1.343147;0.000000;5.986574;5.005549;4.687467
P16;0.000000;1.200000;0.333670;1.152677;0.000000;6.712757;5.886631;5.767346
P17;0.500000;1.200000;0.812583;1.296351;0.000000;6.827271;5.915305;5.731803
P18;1.000000;1.200000;1.291496;1.440025;0.000000;6.798481;5.811261;5.559980
P19;1.500000;1.200000;1.770409;1.583699;0.000000;6.642750;5.596969;5.281092
P20;2.000000;1.200000;2.249322;1.727373;0.000000;6.382018;5.299384;4.928391
P21;0.000000;1.600000;0.444893;1.536903;0.000000;7.370698;6.445376;6.298604
P22;0.500000;1.600000;0.923806;1.680577;0.000000;7.420950;6.401439;6.177503
P23;1.000000;1.600000;1.402719;1.824251;0.000000;7.314437;6.215426;5.913123
P24;1.500000;1.600000;1.881632;1.967925;0.000000;7.076332;5.919565;5.546041
P25;2.000000;1.600000;2.360545;2.111599;0.000000;6.734250;5.546692;5.116075
