point_id;local_x;local_y;E_L1_R;E_L1_G;E_L1_B;E_L2_R;E_L2_G;E_L2_B;E_total_R;E_total_G;E_total_B
P01;0.000000;0.000000;62.500000;62.500000;62.500000;0.000000;0.000000;0.000000;62.500000;62.500000;62.500000
P02;0.500000;0.000000;60.591716;60.591716;60.591716;0.000000;0.000000;0.000000;60.591716;60.591716;60.591716
P03;1.000000;0.000000;55.363322;55.363322;55.363322;0.000000;0.000000;0.000000;55.363322;55.363322;55.363322
P04;1.500000;0.000000;48.039032;48.039032;48.039032;0.000000;0.000000;0.000000;48.039032;48.039032;48.039032
P05;2.000000;0.000000;40.000000;40.000000;40.000000;0.000000;0.000000;0.000000;40.000000;40.000000;40.000000
P06;0.000000;0.400000;61.268503;61.268503;61.268503;0.000000;0.000000;0.000000;61.268503;61.268503;61.268503
P07;0.500000;0.400000;57.875583;57.875583;57.875583;0.000000;0.000000;0.000000;57.875583;57.875583;57.875583
P08;1.000000;0.400000;51.688846;51.688846;51.688846;0.000000;0.000000;0.000000;51.688846;51.688846;51.688846
P09;1.500000;0.400000;44.038951;44.038951;44.038951;0.000000;0.000000;0.000000;44.038951;44.038951;44.038951
P10;2.000000;0.400000;36.185463;36.185463;36.185463;0.000000;0.000000;0.000000;36.185463;36.185463;36.185463
P11;0.000000;0.800000;57.784763;57.784763;57.784763;0.000000;0.000000;0.000000;57.784763;57.784763;57.784763
P12;0.500000;0.800000;53.312586;53.312586;53.312586;0.000000;0.000000;0.000000;53.312586;53.312586;53.312586
P13;1.000000;0.800000;46.710278;46.710278;46.710278;0.000000;0.000000;0.000000;46.710278;46.710278;46.710278
P14;1.500000;0.800000;39.244343;39.244343;39.244343;0.000000;0.000000;0.000000;39.244343;39.244343;39.244343
P15;2.000000;0.800000;31.957590;31.957590;31.957590;0.000000;0.000000;0.000000;31.957590;31.957590;31.957590
P16;0.000000;1.200000;52.605000;52.605000;52.605000;0.000000;0.000000;0.000000;52.605000;52.605000;52.605000
P17;0.500000;1.200000;47.564467;47.564467;47.564467;0.000000;0.000000;0.000000;47.564467;47.564467;47.564467
P18;1.000000;1.200000;41.053841;41.053841;41.053841;0.000000;0.000000;0.000000;41.053841;41.053841;41.053841
P19;1.500000;1.200000;34.159154;34.159154;34.159154;0.000000;0.000000;0.000000;34.159154;34.159154;34.159154
P20;2.000000;1.200000;27.677891;27.677891;27.677891;0.000000;0.000000;0.000000;27.677891;27.677891;27.677891
P21;0.000000;1.600000;46.447681;46.447681;46.447681;0.000000;0.000000;0.000000;46.447681;46.447681;46.447681
P22;0.500000;1.600000;41.320812;41.320812;41.320812;0.000000;0.000000;0.000000;41.320812;41.320812;41.320812
P23;1.000000;1.600000;35.281238;35.281238;35.281238;0.000000;0.000000;0.000000;35.281238;35.281238;35.281238
P24;1.500000;1.600000;29.187434;29.187434;29.187434;0.000000;0.000000;0.000000;29.187434;29.187434;29.187434
P25;2.000000;1.600000;23.612256;23.612256;23.612256;0.000000;0.000000;0.000000;23.612256;23.612256;23.612256
