observer_id;sample_id;observer_position;mirror_point;view_incident_to_mirror;reflected_view_ray;diffuse_hit_point;light_direction_to_source;L_R;L_G;L_B;average_L_R;average_L_G;average_L_B
P01;sample_01;(-0.800000, -0.400000, 1.000000);(0.607729, -1.424968, 0.000000);(0.701043, -0.510430, -0.497996);(0.701043, -0.510430, 0.497996);NONE;NONE;0.000000;0.000000;0.000000;0.096207;0.086587;0.076966
P01;sample_02;(-0.800000, -0.400000, 1.000000);(-0.453461, -0.830368, 0.000000);(0.303316, -0.376690, -0.875274);(0.303316, -0.376690, 0.875274);NONE;NONE;0.000000;0.000000;0.000000;0.096207;0.086587;0.076966
P01;sample_03;(-0.800000, -0.400000, 1.000000);(-0.299284, -0.530098, 0.000000);(0.444727, -0.115551, -0.888181);(0.444727, -0.115551, 0.888181);(0.702149, -0.790295, 2.000000);(-0.482513, 0.543087, -0.687195);0.481037;0.432933;0.384829;0.096207;0.086587;0.076966
P01;sample_04;(-0.800000, -0.400000, 1.000000);(1.742596, -1.239184, 0.000000);(0.889595, -0.293611, -0.349877);(0.889595, -0.293611, 0.349877);NONE;NONE;0.000000;0.000000;0.000000;0.096207;0.086587;0.076966
P01;sample_05;(-0.800000, -0.400000, 1.000000);(-0.252718, -1.410608, 0.000000);(0.359243, -0.663376, -0.656412);(0.359243, -0.663376, 0.656412);NONE;NONE;0.000000;0.000000;0.000000;0.096207;0.086587;0.076966
P02;sample_01;(-0.400000, 0.200000, 1.000000);(-0.114738, 0.016066, 0.000000);(0.270126, -0.174175, -0.946940);(0.270126, -0.174175, 0.946940);(0.455787, -0.351802, 2.000000);(-0.394994, 0.304879, -0.866619);0.606633;0.545970;0.485307;0.282320;0.254088;0.225856
P02;sample_02;(-0.400000, 0.200000, 1.000000);(-1.496181, -0.903487, 0.000000);(-0.592808, -0.596759, -0.540794);(-0.592808, -0.596759, 0.540794);NONE;NONE;0.000000;0.000000;0.000000;0.282320;0.254088;0.225856
P02;sample_03;(-0.400000, 0.200000, 1.000000);(0.310579, -0.134824, 0.000000);(0.558796, -0.263304, -0.786395);(0.558796, -0.263304, 0.786395);(1.731738, -0.804473, 2.000000);(-0.803412, 0.373222, -0.463934);0.324754;0.292278;0.259803;0.282320;0.254088;0.225856
P02;sample_04;(-0.400000, 0.200000, 1.000000);(0.060294, 0.267797, 0.000000);(0.417335, 0.061470, -0.906671);(0.417335, 0.061470, 0.906671);(0.980882, 0.403391, 2.000000);(-0.672902, -0.276734, -0.686018);0.480213;0.432191;0.384170;0.282320;0.254088;0.225856
P02;sample_05;(-0.400000, 0.200000, 1.000000);(1.250719, -1.480504, 0.000000);(0.645040, -0.656679, -0.390763);(0.645040, -0.656679, 0.390763);NONE;NONE;0.000000;0.000000;0.000000;0.282320;0.254088;0.225856
P03;sample_01;(0.000000, 0.600000, 1.000000);(-0.619556, -0.594418, 0.000000);(-0.369564, -0.712469, -0.596499);(-0.369564, -0.712469, 0.596499);NONE;NONE;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
P03;sample_02;(0.000000, 0.600000, 1.000000);(-0.328039, -1.033562, 0.000000);(-0.168811, -0.840644, -0.514608);(-0.168811, -0.840644, 0.514608);NONE;NONE;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
P03;sample_03;(0.000000, 0.600000, 1.000000);(-0.502041, 0.490216, 0.000000);(-0.446528, -0.097644, -0.889426);(-0.446528, -0.097644, 0.889426);NONE;NONE;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
P03;sample_04;(0.000000, 0.600000, 1.000000);(-1.435584, -1.209851, 0.000000);(-0.570302, -0.718984, -0.397262);(-0.570302, -0.718984, 0.397262);NONE;NONE;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
P03;sample_05;(0.000000, 0.600000, 1.000000);(-0.597430, -0.311178, 0.000000);(-0.403967, -0.616116, -0.676175);(-0.403967, -0.616116, 0.676175);NONE;NONE;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
P04;sample_01;(0.400000, 0.200000, 1.000000);(-0.687977, -0.689195, 0.000000);(-0.630845, -0.515585, -0.579833);(-0.630845, -0.515585, 0.579833);NONE;NONE;0.000000;0.000000;0.000000;0.142322;0.128090;0.113857
P04;sample_02;(0.400000, 0.200000, 1.000000);(-0.091144, -1.419347, 0.000000);(-0.249872, -0.823852, -0.508755);(-0.249872, -0.823852, 0.508755);NONE;NONE;0.000000;0.000000;0.000000;0.142322;0.128090;0.113857
P04;sample_03;(0.400000, 0.200000, 1.000000);(0.618219, 0.156122, 0.000000);(0.213006, -0.042830, -0.976112);(0.213006, -0.042830, 0.976112);(1.054656, 0.068366, 2.000000);(-0.724858, -0.046987, -0.687294);0.481105;0.432995;0.384884;0.142322;0.128090;0.113857
P04;sample_04;(0.400000, 0.200000, 1.000000);(-0.554658, -0.355559, 0.000000);(-0.640722, -0.372865, -0.671153);(-0.640722, -0.372865, 0.671153);(-2.463974, -1.466678, 2.000000);(0.811365, 0.482964, -0.329291);0.230504;0.207453;0.184403;0.142322;0.128090;0.113857
P04;sample_05;(0.400000, 0.200000, 1.000000);(-0.601532, -0.232056, 0.000000);(-0.676813, -0.291974, -0.675778);(-0.676813, -0.291974, 0.675778);NONE;NONE;0.000000;0.000000;0.000000;0.142322;0.128090;0.113857
P05;sample_01;(0.800000, -0.400000, 1.000000);(0.909936, -1.362527, 0.000000);(0.078959, -0.691313, -0.718228);(0.078959, -0.691313, 0.718228);NONE;NONE;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
P05;sample_02;(0.800000, -0.400000, 1.000000);(-0.509631, -0.631836, 0.000000);(-0.787040, -0.139325, -0.600963);(-0.787040, -0.139325, 0.600963);NONE;NONE;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
P05;sample_03;(0.800000, -0.400000, 1.000000);(-1.215250, -0.801627, 0.000000);(-0.881837, -0.175745, -0.437582);(-0.881837, -0.175745, 0.437582);NONE;NONE;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
P05;sample_04;(0.800000, -0.400000, 1.000000);(-1.040047, -0.666079, 0.000000);(-0.871623, -0.126041, -0.473696);(-0.871623, -0.126041, 0.473696);NONE;NONE;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
P05;sample_05;(0.800000, -0.400000, 1.000000);(0.727598, 0.405503, 0.000000);(-0.056295, 0.626310, -0.777539);(-0.056295, 0.626310, 0.777539);NONE;NONE;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
